,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"β[6,112]",-0.033,2.613,-4.918,4.627,0.029,0.032,8170.0,3844.0,1.0
"β[6,113]",-0.007,2.641,-4.962,4.519,0.03,0.03,8234.0,3716.0,1.0
"β[6,114]",0.002,2.748,-5.021,5.035,0.034,0.031,7423.0,3491.0,1.0
"β[6,115]",0.056,2.697,-4.583,4.971,0.028,0.028,9791.0,3782.0,1.0
"β[6,116]",-0.012,2.64,-4.519,4.962,0.028,0.031,9472.0,3548.0,1.0
"β[6,117]",-0.03,2.742,-4.739,4.767,0.029,0.033,8864.0,3747.0,1.0
"β[6,118]",-0.03,2.844,-4.783,5.165,0.029,0.027,9512.0,3274.0,1.0
"β[6,119]",0.005,2.792,-5.149,5.034,0.027,0.03,11416.0,4394.0,1.0
"β[6,120]",0.052,2.871,-4.894,5.231,0.029,0.028,10667.0,3846.0,1.0
"β[6,121]",0.052,2.803,-4.948,5.356,0.028,0.032,10138.0,3628.0,1.0
"β[6,122]",0.0,2.811,-4.761,5.791,0.033,0.029,7532.0,3978.0,1.0
"β[6,123]",-0.047,2.906,-4.694,5.749,0.029,0.032,10898.0,4108.0,1.0
"β[6,124]",-0.028,2.816,-5.29,4.911,0.029,0.033,11650.0,4007.0,1.0
"B[0,0]",0.0,0.0,0.0,0.0,0.0,0.0,8000.0,8000.0,
"B[0,1]",-0.104,0.167,-0.423,0.212,0.002,0.001,8591.0,6278.0,1.0
"B[0,2]",-0.002,0.32,-0.602,0.624,0.003,0.004,11393.0,5890.0,1.0
"B[0,3]",-0.084,0.206,-0.461,0.319,0.002,0.002,8095.0,7307.0,1.0
"B[0,4]",-0.078,0.214,-0.499,0.303,0.002,0.002,7925.0,7060.0,1.0
"B[0,5]",1.098,0.299,0.545,1.658,0.006,0.004,2804.0,2741.0,1.0
"B[0,6]",-0.162,0.224,-0.603,0.254,0.003,0.002,7603.0,7013.0,1.0
"B[0,7]",0.06,0.659,-1.162,1.343,0.018,0.013,1282.0,4015.0,1.0
"B[0,8]",-0.012,0.647,-1.272,1.178,0.007,0.007,9938.0,6113.0,1.0
"B[0,9]",-0.014,0.687,-1.309,1.293,0.007,0.007,9928.0,6061.0,1.0
"B[0,10]",-0.009,0.725,-1.406,1.375,0.007,0.008,10472.0,5908.0,1.0
"B[0,11]",-0.008,0.761,-1.472,1.442,0.008,0.008,9565.0,5894.0,1.0
"B[0,12]",0.007,0.802,-1.538,1.495,0.008,0.009,10571.0,6212.0,1.0
"B[0,13]",-0.005,0.829,-1.552,1.635,0.008,0.009,10802.0,6094.0,1.0
"B[0,14]",-0.014,0.857,-1.681,1.555,0.009,0.009,9380.0,6207.0,1.0
"B[0,15]",0.002,0.88,-1.711,1.676,0.009,0.009,10767.0,6000.0,1.0
"B[0,16]",0.005,0.906,-1.718,1.752,0.009,0.009,9609.0,5891.0,1.0
"B[0,17]",0.051,0.96,-1.76,1.912,0.02,0.014,2256.0,5274.0,1.0
"B[0,18]",-0.099,1.093,-2.17,2.003,0.033,0.023,1062.0,2931.0,1.0
"B[0,19]",-0.039,0.244,-0.497,0.417,0.003,0.002,7331.0,7282.0,1.0
"B[0,20]",0.032,0.243,-0.436,0.482,0.003,0.002,6144.0,6659.0,1.0
"B[0,21]",0.023,0.98,-1.812,1.898,0.012,0.009,6768.0,6634.0,1.0
"B[0,22]",-0.156,1.355,-2.604,2.562,0.049,0.035,742.0,2562.0,1.0
"B[0,23]",-0.064,1.105,-2.139,2.009,0.02,0.014,3047.0,4663.0,1.0
"B[0,24]",0.002,1.054,-1.926,2.067,0.011,0.011,9410.0,6437.0,1.0
"B[0,25]",-0.205,1.589,-3.113,2.929,0.064,0.045,605.0,2093.0,1.0
"B[0,26]",-0.022,1.108,-2.096,2.108,0.014,0.012,6175.0,5492.0,1.0
"B[0,27]",-0.092,1.269,-2.694,2.257,0.032,0.023,1446.0,4033.0,1.0
"B[0,28]",0.06,1.195,-2.133,2.393,0.023,0.016,2565.0,4759.0,1.0
"B[0,29]",0.058,1.195,-2.213,2.37,0.021,0.015,2988.0,5676.0,1.0
"B[0,30]",0.018,1.243,-2.437,2.299,0.012,0.014,10794.0,5412.0,1.0
"B[0,31]",0.08,1.251,-2.235,2.562,0.022,0.016,3040.0,5809.0,1.0
"B[0,32]",-0.007,1.234,-2.279,2.457,0.014,0.013,7496.0,5605.0,1.0
"B[0,33]",-0.036,1.281,-2.457,2.454,0.02,0.014,4128.0,4562.0,1.0
"B[0,34]",0.042,1.273,-2.415,2.478,0.013,0.013,9074.0,6590.0,1.0
"B[0,35]",0.009,1.24,-2.242,2.43,0.014,0.012,8193.0,5815.0,1.0
"B[0,36]",-0.157,1.663,-3.212,3.108,0.059,0.042,788.0,3032.0,1.0
"B[0,37]",-0.193,1.767,-3.577,3.092,0.062,0.044,795.0,2640.0,1.0
"B[0,38]",0.027,1.331,-2.479,2.556,0.016,0.014,7160.0,6144.0,1.0
"B[0,39]",0.023,1.35,-2.57,2.59,0.017,0.015,6257.0,6139.0,1.0
"B[0,40]",0.08,1.411,-2.664,2.727,0.024,0.017,3331.0,4010.0,1.0
"B[0,41]",0.04,1.391,-2.604,2.715,0.016,0.014,7310.0,5966.0,1.0
"B[0,42]",-0.112,1.515,-2.923,2.745,0.037,0.026,1591.0,4430.0,1.0
"B[0,43]",-0.001,1.358,-2.526,2.619,0.016,0.013,7436.0,5612.0,1.0
"B[0,44]",-0.002,1.462,-2.821,2.825,0.014,0.015,10118.0,6010.0,1.0
"B[0,45]",0.067,1.445,-2.765,2.819,0.022,0.016,4338.0,5438.0,1.0
"B[0,46]",0.07,1.534,-2.839,3.134,0.026,0.018,3313.0,5427.0,1.0
"B[0,47]",0.045,1.529,-2.822,3.076,0.023,0.016,4672.0,5398.0,1.0
"B[0,48]",-0.028,1.575,-2.982,3.08,0.016,0.017,9857.0,6246.0,1.0
"B[0,49]",0.093,1.545,-2.846,2.995,0.025,0.018,3680.0,5565.0,1.0
"B[0,50]",0.036,1.554,-2.723,3.201,0.018,0.016,7841.0,5146.0,1.0
"B[0,51]",-0.04,1.549,-2.928,3.066,0.018,0.016,7360.0,5793.0,1.0
"B[0,52]",0.027,1.56,-3.05,3.011,0.017,0.016,8690.0,6173.0,1.0
"B[0,53]",0.081,1.534,-2.818,3.006,0.017,0.015,8047.0,6254.0,1.0
"B[0,54]",0.094,1.614,-2.946,3.161,0.021,0.017,5406.0,6041.0,1.0
"B[0,55]",-0.163,0.257,-0.629,0.338,0.003,0.002,5881.0,6681.0,1.0
"B[0,56]",-0.283,2.438,-4.969,4.287,0.097,0.068,620.0,2331.0,1.0
"B[0,57]",0.045,1.771,-3.454,3.313,0.022,0.018,6671.0,5726.0,1.0
"B[0,58]",0.048,1.591,-3.06,2.988,0.02,0.016,6248.0,6196.0,1.0
"B[0,59]",-0.14,1.76,-3.382,3.304,0.041,0.029,1720.0,4356.0,1.0
"B[0,60]",0.008,1.661,-3.191,3.229,0.02,0.017,7042.0,5856.0,1.0
"B[0,61]",0.038,1.722,-3.179,3.317,0.02,0.018,7240.0,5797.0,1.0
"B[0,62]",0.09,1.707,-2.961,3.611,0.024,0.017,4779.0,5560.0,1.0
"B[0,63]",0.038,1.776,-3.375,3.325,0.026,0.018,4595.0,5556.0,1.0
"B[0,64]",-0.029,1.726,-3.541,3.101,0.02,0.018,7846.0,5979.0,1.0
"B[0,65]",0.038,1.75,-3.21,3.471,0.02,0.018,7543.0,5627.0,1.0
"B[0,66]",0.049,1.764,-3.216,3.415,0.019,0.02,9069.0,5910.0,1.0
"B[0,67]",0.048,1.797,-3.774,3.197,0.025,0.018,5198.0,5858.0,1.0
"B[0,68]",0.04,1.783,-3.291,3.564,0.026,0.018,4529.0,5643.0,1.0
"B[0,69]",-0.027,1.816,-3.773,3.127,0.02,0.019,8266.0,5430.0,1.0
"B[0,70]",0.028,1.818,-3.28,3.62,0.026,0.02,4907.0,5427.0,1.0
"B[0,71]",-0.021,1.882,-3.613,3.549,0.019,0.02,10297.0,6081.0,1.0
"B[0,72]",0.034,1.889,-3.626,3.679,0.03,0.021,3989.0,5453.0,1.0
"B[0,73]",0.022,1.848,-3.359,3.684,0.021,0.02,7576.0,5573.0,1.0
"B[0,74]",-0.018,1.965,-3.763,3.676,0.019,0.021,10588.0,6640.0,1.0
"B[0,75]",0.054,1.884,-3.66,3.595,0.028,0.02,4592.0,5192.0,1.0
"B[0,76]",0.089,1.863,-3.303,3.75,0.025,0.019,5238.0,5539.0,1.0
"B[0,77]",0.068,1.928,-3.7,3.566,0.028,0.02,4622.0,4873.0,1.0
"B[0,78]",-0.002,1.996,-3.783,3.79,0.02,0.021,10140.0,6114.0,1.0
"B[0,79]",0.076,1.955,-3.749,3.774,0.022,0.021,7421.0,6616.0,1.0
"B[0,80]",0.041,1.981,-3.581,4.047,0.02,0.021,10131.0,5981.0,1.0
"B[0,81]",0.013,1.984,-3.824,3.813,0.019,0.022,11183.0,6221.0,1.0
"B[0,82]",-0.007,2.077,-3.914,4.035,0.021,0.023,9882.0,6114.0,1.0
"B[0,83]",0.005,1.938,-3.492,3.921,0.022,0.02,8434.0,6120.0,1.0
"B[0,84]",0.012,1.999,-4.144,3.441,0.022,0.021,8582.0,6202.0,1.0
"B[0,85]",-0.351,2.883,-5.736,5.07,0.112,0.08,635.0,2097.0,1.0
"B[0,86]",-0.181,2.231,-4.461,3.887,0.051,0.036,1801.0,4456.0,1.0
"B[0,87]",-0.057,1.996,-4.116,3.468,0.022,0.021,8323.0,5717.0,1.0
"B[0,88]",0.024,1.968,-3.671,3.78,0.022,0.02,8418.0,6219.0,1.0
"B[0,89]",0.076,2.055,-3.828,3.856,0.026,0.021,5874.0,5620.0,1.0
"B[0,90]",0.039,2.068,-3.87,3.924,0.024,0.022,7050.0,6081.0,1.0
"B[0,91]",0.009,2.181,-4.013,4.274,0.021,0.023,10458.0,6012.0,1.0
"B[0,92]",0.036,2.02,-3.73,3.925,0.022,0.018,8556.0,6296.0,1.0
"B[0,93]",0.046,2.098,-4.015,4.005,0.026,0.021,6640.0,6062.0,1.0
"B[0,94]",0.09,2.037,-3.818,4.028,0.026,0.02,5990.0,6263.0,1.0
"B[0,95]",0.007,2.254,-4.106,4.505,0.023,0.024,9943.0,6086.0,1.0
"B[0,96]",0.063,2.056,-3.945,3.826,0.026,0.02,6365.0,6342.0,1.0
"B[0,97]",0.077,2.101,-3.908,4.068,0.024,0.024,7421.0,6020.0,1.0
"B[0,98]",-0.021,2.241,-4.117,4.388,0.022,0.025,10362.0,6314.0,1.0
"B[0,99]",0.033,2.247,-4.065,4.457,0.023,0.024,10151.0,5779.0,1.0
"B[0,100]",0.005,2.202,-4.088,4.295,0.023,0.022,9359.0,6375.0,1.0
"B[0,101]",0.016,2.261,-4.183,4.471,0.02,0.023,12529.0,6179.0,1.0
"B[0,102]",-0.001,2.272,-4.337,4.355,0.024,0.024,9385.0,5944.0,1.0
"B[0,103]",0.085,2.288,-4.077,4.594,0.032,0.024,5067.0,5563.0,1.0
"B[0,104]",0.047,2.218,-4.041,4.349,0.024,0.023,8379.0,5900.0,1.0
"B[0,105]",0.013,2.323,-4.344,4.575,0.023,0.026,10505.0,5839.0,1.0
"B[0,106]",0.026,2.24,-4.077,4.38,0.027,0.022,7266.0,5493.0,1.0
"B[0,107]",0.016,2.318,-4.524,4.342,0.023,0.024,10631.0,6480.0,1.0
"B[0,108]",0.016,2.209,-4.284,4.047,0.026,0.022,7470.0,6064.0,1.0
"B[0,109]",0.031,2.261,-4.421,4.362,0.03,0.025,5664.0,5570.0,1.0
"B[0,110]",0.013,2.307,-4.337,4.478,0.023,0.026,10457.0,5695.0,1.0
"B[0,111]",0.002,2.371,-4.68,4.403,0.024,0.026,9949.0,5471.0,1.0
"B[0,112]",0.053,2.368,-4.484,4.52,0.03,0.024,6414.0,5892.0,1.0
"B[0,113]",0.088,2.22,-4.194,4.201,0.027,0.022,6901.0,6164.0,1.0
"B[0,114]",0.02,2.369,-4.477,4.552,0.03,0.024,6517.0,6198.0,1.0
"B[0,115]",0.062,2.338,-4.304,4.511,0.028,0.024,6831.0,5821.0,1.0
"B[0,116]",0.075,2.318,-4.275,4.528,0.029,0.023,6239.0,5115.0,1.0
"B[0,117]",0.053,2.349,-4.135,4.869,0.027,0.024,7530.0,5666.0,1.0
"B[0,118]",0.049,2.297,-4.245,4.638,0.027,0.023,7320.0,6222.0,1.0
"B[0,119]",0.026,2.465,-4.552,4.65,0.024,0.028,10363.0,5936.0,1.0
"B[0,120]",-0.003,2.484,-4.649,4.76,0.024,0.028,10650.0,5963.0,1.0
"B[0,121]",0.11,2.335,-4.137,4.707,0.026,0.023,8094.0,6439.0,1.0
"B[0,122]",0.044,2.378,-4.524,4.534,0.025,0.023,9136.0,6566.0,1.0
"B[0,123]",0.029,2.516,-4.938,4.684,0.025,0.028,10174.0,6011.0,1.0
"B[0,124]",0.015,2.544,-4.54,5.193,0.026,0.03,9672.0,5664.0,1.0
"B[1,0]",0.0,0.0,0.0,0.0,0.0,0.0,8000.0,8000.0,
"B[1,1]",0.0,0.005,-0.01,0.011,0.0,0.0,6071.0,6041.0,1.0
"B[1,2]",-0.0,0.008,-0.015,0.015,0.0,0.0,5961.0,5844.0,1.0
"B[1,3]",-0.0,0.008,-0.016,0.017,0.0,0.0,5764.0,5902.0,1.0
"B[1,4]",-0.0,0.009,-0.018,0.018,0.0,0.0,6648.0,6700.0,1.0
"B[1,5]",-0.0,0.02,-0.041,0.041,0.0,0.0,3941.0,4281.0,1.0
"B[1,6]",-0.001,0.012,-0.024,0.023,0.0,0.0,5785.0,5915.0,1.0
"B[1,7]",-0.003,0.017,-0.039,0.026,0.0,0.0,6443.0,6530.0,1.0
"B[1,8]",-0.0,0.015,-0.031,0.029,0.0,0.0,6610.0,6148.0,1.0
"B[1,9]",-0.001,0.016,-0.036,0.029,0.0,0.0,6990.0,5176.0,1.0
"B[1,10]",0.002,0.017,-0.03,0.037,0.0,0.0,6531.0,6193.0,1.0
"B[1,11]",-0.0,0.018,-0.04,0.034,0.0,0.0,6232.0,5402.0,1.0
"B[1,12]",-0.0,0.019,-0.04,0.035,0.0,0.0,5797.0,5674.0,1.0
"B[1,13]",0.003,0.02,-0.036,0.043,0.0,0.0,6429.0,5838.0,1.0
